cycle theoreticalDist theoreticalMaxDist average standardDeviation
24 16.7592 28.299 16.7601 0.833791
25 17.0536 29.2961 17.0546 0.857883
26 17.3304 30.2803 17.3314 0.880908
27 17.5906 31.2516 17.5916 0.902876
28 17.8351 32.2104 17.8362 0.923836
29 18.065 33.1566 18.0661 0.943815
30 18.2811 34.0906 18.2822 0.962842
31 18.4843 35.0124 18.4853 0.98096
32 18.6752 35.9222 18.6763 0.998195
33 18.8547 36.8203 18.8558 1.01458
34 19.0234 37.7066 19.0245 1.03015
35 19.182 38.5814 19.1831 1.04494
36 19.3311 39.4449 19.3322 1.05898
37 19.4712 40.2971 19.4724 1.0723
38 19.6029 41.1382 19.6041 1.08494
39 19.7268 41.9684 19.728 1.09693
40 19.8432 42.7878 19.8444 1.10829
41 19.9526 43.5966 19.9538 1.11906
42 20.0554 44.3948 20.0567 1.12925
43 20.1521 45.1827 20.1534 1.1389
44 20.243 45.9603 20.2443 1.14804
45 20.3284 46.7278 20.3297 1.15668
46 20.4087 47.4854 20.41 1.16487
47 20.4842 48.2331 20.4855 1.17261
48 20.5551 48.971 20.5565 1.17993
49 20.6218 49.6994 20.6232 1.18685
50 20.6845 50.4183 20.6859 1.19339
firstSpeed 1.4
1 1.4 1.47 1.4 0.0285653
2 2.716 2.92089 2.71601 0.0615799
3 3.95304 4.35292 3.95305 0.0993461
4 5.11586 5.76633 5.11585 0.140183
5 6.20891 7.16137 6.20883 0.182954
6 7.23637 8.53827 7.23622 0.226873
7 8.20219 9.89727 8.20196 0.27134
8 9.11006 11.2386 9.10974 0.315887
9 9.96345 12.5625 9.96303 0.360147
10 10.7656 13.8692 10.7651 0.403876
11 11.5197 15.1589 11.5191 0.446866
12 12.2285 16.4318 12.2279 0.488936
13 12.8948 17.6882 12.8941 0.529974
14 13.5211 18.9283 13.5203 0.569876
15 14.1099 20.1522 14.109 0.608571
16 14.6633 21.3602 14.6624 0.646026
17 15.1835 22.5525 15.1825 0.682188
18 15.6725 23.7294 15.6715 0.71707
19 16.1321 24.8909 16.1311 0.750641
20 16.5642 26.0373 16.5632 0.782907
21 16.9703 27.1688 16.9693 0.813891
22 17.3521 28.2856 17.3511 0.843594
23 17.711 29.3879 17.71 0.87204
24 18.0483 30.4759 18.0473 0.899254
25 18.3654 31.5497 18.3644 0.925284
26 18.6635 32.6095 18.6624 0.950142
27 18.9437 33.6556 18.9426 0.973866
28 19.2071 34.6881 19.206 0.996501
29 19.4546 35.7071 19.4536 1.01807
30 19.6874 36.7129 19.6863 1.03861
31 19.9061 37.7057 19.9051 1.05815
32 20.1118 38.6855 20.1107 1.07675
33 20.3051 39.6526 20.304 1.09442
34 20.4868 40.6071 20.4857 1.11122
35 20.6575 41.5492 20.6564 1.12718
36 20.8181 42.4791 20.817 1.14233
37 20.969 43.3968 20.9679 1.1567
38 21.1109 44.3027 21.1097 1.17033
39 21.2442 45.1968 21.2431 1.18326
40 21.3696 46.0792 21.3684 1.19551
41 21.4874 46.9502 21.4862 1.20711
42 21.5981 47.8098 21.597 1.21811
43 21.7023 48.6583 21.7011 1.22852
44 21.8001 49.4957 21.7989 1.23838
45 21.8921 50.3223 21.8909 1.2477
46 21.9786 51.1381 21.9774 1.25653
47 22.0599 51.9433 22.0587 1.26489
48 22.1363 52.738 22.1351 1.27278
49 22.2081 53.5224 22.2069 1.28024
50 22.2756 54.2966 22.2744 1.2873
firstSpeed 1.5
1 1.5 1.575 1.50001 0.0306274
2 2.91 3.12953 2.90997 0.0660074
3 4.2354 4.66384 4.23533 0.106412
4 5.48128 6.17821 5.4812 0.150096
5 6.6524 7.67289 6.65235 0.19588
6 7.75326 9.14815 7.75323 0.242902
7 8.78806 10.6042 8.78807 0.29051
8 9.76078 12.0414 9.76082 0.338198
9 10.6751 13.4598 10.6752 0.385599
10 11.5346 14.8599 11.5347 0.432443
11 12.3425 16.2417 12.3426 0.478467
12 13.102 17.6055 13.1021 0.523541
13 13.8159 18.9517 13.816 0.567512
14 14.4869 20.2803 14.487 0.610281
15 15.1177 21.5916 15.1178 0.651757
16 15.7106 22.886 15.7107 0.691885
17 16.268 24.1634 16.268 0.73064
18 16.7919 25.4243 16.792 0.768006
19 17.2844 26.6688 17.2844 0.803967
20 17.7473 27.8971 17.7473 0.838533
21 18.1825 29.1094 18.1825 0.871732
22 18.5916 30.306 18.5915 0.903572
23 18.9761 31.487 18.976 0.934074
24 19.3375 32.6527 19.3374 0.963264
25 19.6772 33.8032 19.6771 0.991162
26 19.9966 34.9388 19.9965 1.0178
27 20.2968 36.0596 20.2967 1.04324
28 20.579 37.1658 20.5788 1.06748
29 20.8443 38.2576 20.8441 1.09058
30 21.0936 39.3353 21.0934 1.11257
31 21.328 40.3989 21.3278 1.1335
32 21.5483 41.4487 21.5481 1.15341
33 21.7554 42.4849 21.7552 1.17232
34 21.9501 43.5076 21.9499 1.1903
35 22.1331 44.517 22.1328 1.20737
36 22.3051 45.5133 22.3048 1.22358
37 22.4668 46.4966 22.4665 1.23896
38 22.6188 47.4672 22.6185 1.25355
39 22.7617 48.4251 22.7614 1.26739
40 22.896 49.3706 22.8957 1.28049
41 23.0222 50.3037 23.0219 1.29291
42 23.1409 51.2248 23.1405 1.30467
43 23.2524 52.1339 23.2521 1.31582
44 23.3573 53.0311 23.3569 1.32637
45 23.4558 53.9167 23.4555 1.33635
46 23.5485 54.7908 23.5481 1.3458
47 23.6356 55.6535 23.6352 1.35473
48 23.7174 56.505 23.7171 1.36319
49 23.7944 57.3455 23.794 1.37118
50 23.8667 58.175 23.8663 1.37873
firstSpeed 1.6
1 1.6 1.68 1.59999 0.0326268
2 3.104 3.33816 3.10401 0.0703681
3 4.51776 4.97476 4.51777 0.113573
4 5.84669 6.59009 5.84671 0.16026
5 7.09589 8.18442 7.09587 0.209137
6 8.27014 9.75802 8.27006 0.259331
7 9.37393 11.3112 9.37378 0.310145
8 10.4115 12.8441 10.4113 0.361064
9 11.3868 14.3572 11.3864 0.411663
10 12.3036 15.8505 12.3031 0.461644
11 13.1654 17.3245 13.1648 0.510774
12 13.9755 18.7792 13.9748 0.558862
13 14.7369 20.2151 14.7362 0.605763
14 15.4527 21.6323 15.4519 0.651383
15 16.1256 23.0311 16.1247 0.695643
16 16.758 24.4117 16.7571 0.73847
17 17.3525 25.7743 17.3516 0.779818
18 17.9114 27.1193 17.9104 0.819655
19 18.4367 28.4467 18.4357 0.858004
20 18.9305 29.7569 18.9294 0.894872
21 19.3947 31.0501 19.3936 0.930268
22 19.831 32.3264 19.8299 0.96421
23 20.2411 33.5862 20.2399 0.996703
24 20.6267 34.8296 20.6254 1.02778
25 20.9891 36.0568 20.9878 1.05747
26 21.3297 37.268 21.3284 1.08583
27 21.6499 38.4635 21.6485 1.11289
28 21.9509 39.6435 21.9495 1.1387
29 22.2339 40.8082 22.2323 1.1633
30 22.4999 41.9576 22.4983 1.18674
31 22.7499 43.0922 22.7482 1.20904
32 22.9849 44.212 22.9832 1.23027
33 23.2058 45.3172 23.2041 1.25045
34 23.4134 46.4081 23.4117 1.26962
35 23.6086 47.4848 23.6068 1.28782
36 23.7921 48.5475 23.7903 1.3051
37 23.9646 49.5964 23.9627 1.3215
38 24.1267 50.6316 24.1248 1.33705
39 24.2791 51.6534 24.2772 1.35181
40 24.4224 52.6619 24.4205 1.36579
41 24.557 53.6573 24.5551 1.37904
42 24.6836 54.6398 24.6817 1.39159
43 24.8026 55.6095 24.8006 1.40348
44 24.9144 56.5665 24.9125 1.41473
45 25.0196 57.5112 25.0176 1.42538
46 25.1184 58.4435 25.1164 1.43545
47 25.2113 59.3638 25.2093 1.44498
48 25.2986 60.272 25.2966 1.454
49 25.3807 61.1685 25.3787 1.46252
50 25.4578 62.0533 25.4559 1.47057
firstSpeed 1.7
1 1.7 1.785 1.70002 0.0346962
2 3.298 3.5468 3.29802 0.0747846
3 4.80012 5.28569 4.80016 0.12055
4 6.21211 7.00197 6.21216 0.170049
5 7.53939 8.69595 7.53949 0.221915
6 8.78702 10.3679 8.78716 0.275132
7 9.9598 12.0181 9.95999 0.328995
8 11.0622 13.6469 11.0624 0.382948
9 12.0985 15.2545 12.0987 0.436589
10 13.0726 16.8412 13.0729 0.48962
11 13.9882 18.4072 13.9886 0.541778
12 14.8489 19.9529 14.8493 0.592872
13 15.658 21.4785 15.6585 0.642696
14 16.4185 22.9843 16.419 0.691149
15 17.1334 24.4705 17.1339 0.738124
16 17.8054 25.9374 17.806 0.783598
17 18.4371 27.3852 18.4377 0.827511
18 19.0308 28.8142 19.0315 0.869874
19 19.589 30.2246 19.5896 0.910662
20 20.1137 31.6167 20.1143 0.949866
21 20.6068 32.9907 20.6075 0.987507
22 21.0704 34.3468 21.0711 1.0236
23 21.5062 35.6853 21.5069 1.05817
24 21.9158 37.0064 21.9165 1.09124
25 22.3009 38.3103 22.3015 1.12287
26 22.6628 39.5973 22.6635 1.15308
27 23.0031 40.8675 23.0037 1.18191
28 23.3229 42.1212 23.3235 1.20941
29 23.6235 43.3587 23.6242 1.23562
30 23.9061 44.58 23.9068 1.26058
31 24.1717 45.7855 24.1724 1.28433
32 24.4214 46.9752 24.4221 1.30691
33 24.6561 48.1496 24.6569 1.32838
34 24.8768 49.3086 24.8775 1.34878
35 25.0842 50.4526 25.0849 1.36816
36 25.2791 51.5817 25.2799 1.38655
37 25.4624 52.6962 25.4631 1.40401
38 25.6346 53.7961 25.6354 1.42057
39 25.7965 54.8818 25.7974 1.43627
40 25.9488 55.9533 25.9496 1.45115
41 26.0918 57.0109 26.0927 1.46525
42 26.2263 58.0548 26.2272 1.47861
43 26.3527 59.0851 26.3536 1.49125
44 26.4716 60.102 26.4724 1.50323
45 26.5833 61.1056 26.5842 1.51456
46 26.6883 62.0963 26.6892 1.52527
47 26.787 63.074 26.7879 1.53541
48 26.8798 64.039 26.8807 1.54499
49 26.967 64.9915 26.9679 1.55404
50 27.049 65.9316 27.0499 1.5626
firstSpeed 1.8
1 1.8 1.89 1.8 0.0367554
2 3.492 3.75543 3.492 0.0793024
3 5.08248 5.59661 5.08246 0.127894
4 6.57753 7.41385 6.57752 0.180444
5 7.98288 9.20747 7.98287 0.235493
6 9.30391 10.9778 9.30388 0.292017
7 10.5457 12.7251 10.5456 0.349261
8 11.7129 14.4496 11.7129 0.406604
9 12.8102 16.1518 12.8102 0.463592
10 13.8415 17.8318 13.8416 0.519866
11 14.8111 19.49 14.8111 0.575174
12 15.7224 21.1266 15.7225 0.629322
13 16.579 22.742 16.5791 0.682149
14 17.3843 24.3363 17.3844 0.733517
15 18.1412 25.91 18.1414 0.783349
16 18.8528 27.4631 18.8529 0.831569
17 19.5216 28.9961 19.5218 0.878135
18 20.1503 30.5092 20.1505 0.923026
19 20.7413 32.0026 20.7415 0.966236
20 21.2968 33.4765 21.297 1.00777
21 21.819 34.9313 21.8192 1.04765
22 22.3099 36.3672 22.3101 1.08589
23 22.7713 37.7844 22.7715 1.12249
24 23.205 39.1832 23.2052 1.15752
25 23.6127 40.5639 23.6129 1.191
26 23.9959 41.9265 23.9961 1.22296
27 24.3562 43.2715 24.3564 1.25344
28 24.6948 44.599 24.695 1.28249
29 25.0131 45.9092 25.0133 1.31018
30 25.3123 47.2024 25.3126 1.33655
31 25.5936 48.4787 25.5938 1.36165
32 25.858 49.7385 25.8582 1.38552
33 26.1065 50.9819 26.1067 1.40821
34 26.3401 52.2091 26.3403 1.42977
35 26.5597 53.4204 26.5599 1.45025
36 26.7661 54.616 26.7663 1.4697
37 26.9602 55.7959 26.9604 1.48816
38 27.1425 56.9606 27.1428 1.50567
39 27.314 58.1101 27.3142 1.52228
40 27.4752 59.2447 27.4754 1.53801
41 27.6266 60.3645 27.6269 1.55292
42 27.769 61.4698 27.7693 1.56704
43 27.9029 62.5607 27.9031 1.5804
44 28.0287 63.6374 28.029 1.59305
45 28.147 64.7001 28.1473 1.60502
46 28.2582 65.749 28.2584 1.61634
47 28.3627 66.7842 28.363 1.62705
48 28.4609 67.806 28.4612 1.63718
49 28.5533 68.8146 28.5536 1.64676
50 28.6401 69.81 28.6404 1.65581
firstSpeed 1.9
1 1.9 1.995 1.89999 0.0387782
2 3.686 3.96407 3.68602 0.0836621
3 5.36484 5.90753 5.36489 0.134835
4 6.94295 7.82573 6.94302 0.190128
5 8.42637 9.719 8.42648 0.24808
6 9.82079 11.5877 9.82096 0.307582
7 11.1315 13.432 11.1318 0.367847
8 12.3637 15.2524 12.364 0.428241
9 13.5218 17.0491 13.5222 0.488277
10 14.6105 18.8225 14.6109 0.547593
11 15.6339 20.5728 15.6343 0.605879
12 16.5959 22.3003 16.5964 0.662892
13 17.5001 24.0054 17.5006 0.718494
14 18.3501 25.6884 18.3507 0.772582
15 19.1491 27.3494 19.1497 0.825045
16 19.9001 28.9889 19.9008 0.875812
17 20.6061 30.607 20.6068 0.92485
18 21.2698 32.2041 21.2704 0.972156
19 21.8936 33.7805 21.8943 1.01768
20 22.48 35.3363 22.4807 1.06144
21 23.0312 36.872 23.0319 1.10346
22 23.5493 38.3876 23.55 1.14376
23 24.0363 39.8836 24.0371 1.18235
24 24.4942 41.3601 24.4949 1.21928
25 24.9245 42.8174 24.9253 1.25459
26 25.329 44.2558 25.3299 1.28831
27 25.7093 45.6755 25.7102 1.32049
28 26.0667 47.0767 26.0677 1.35119
29 26.4027 48.4597 26.4038 1.38044
30 26.7186 49.8247 26.7196 1.4083
31 27.0155 51.172 27.0166 1.43481
32 27.2945 52.5017 27.2957 1.46003
33 27.5569 53.8142 27.558 1.48401
34 27.8034 55.1096 27.8046 1.50679
35 28.0352 56.3882 28.0365 1.52843
36 28.2531 57.6502 28.2544 1.54897
37 28.4579 58.8957 28.4592 1.56846
38 28.6505 60.1251 28.6518 1.58694
39 28.8314 61.3384 28.8328 1.60446
40 29.0015 62.536 29.0029 1.62106
41 29.1615 63.7181 29.1628 1.63678
42 29.3118 64.8847 29.3132 1.65168
43 29.4531 66.0362 29.4545 1.66579
44 29.5859 67.1728 29.5873 1.67914
45 29.7107 68.2945 29.7122 1.69178
46 29.8281 69.4017 29.8296 1.70374
47 29.9384 70.4945 29.9399 1.71506
48 30.0421 71.573 30.0436 1.72576
49 30.1396 72.6376 30.1411 1.73588
50 30.2312 73.6883 30.2328 1.74543
firstSpeed 2
1 2 2.1 1.99999 0.0408313
2 3.88 4.1727 3.88 0.0880028
3 5.6472 6.21845 5.64725 0.141874
4 7.30837 8.23761 7.30849 0.200108
5 8.86987 10.2305 8.87004 0.261053
6 10.3377 12.1975 10.3379 0.323624
7 11.7174 14.139 11.7177 0.386984
8 13.0144 16.0552 13.0148 0.450499
9 14.2335 17.9464 14.234 0.513635
10 15.3795 19.8131 15.38 0.576016
11 16.4567 21.6556 16.4573 0.637409
12 17.4693 23.474 17.47 0.697501
13 18.4212 25.2689 18.4219 0.756103
14 19.3159 27.0404 19.3167 0.813094
15 20.1569 28.7889 20.1578 0.868356
16 20.9475 30.5146 20.9485 0.921844
17 21.6907 32.2179 21.6917 0.973509
18 22.3892 33.8991 22.3903 1.02333
19 23.0459 35.5584 23.047 1.07128
20 23.6631 37.1961 23.6642 1.11734
21 24.2433 38.8126 24.2445 1.16155
22 24.7887 40.408 24.7899 1.20396
23 25.3014 41.9827 25.3025 1.24457
24 25.7833 43.5369 25.7845 1.28342
25 26.2363 45.071 26.2375 1.32056
26 26.6621 46.585 26.6633 1.35604
27 27.0624 48.0794 27.0636 1.38989
28 27.4387 49.5544 27.4399 1.42219
29 27.7924 51.0102 27.7936 1.45298
30 28.1248 52.4471 28.1261 1.4823
31 28.4373 53.8652 28.4386 1.51021
32 28.7311 55.265 28.7324 1.53676
33 29.0072 56.6466 29.0086 1.562
34 29.2668 58.0101 29.2682 1.58598
35 29.5108 59.356 29.5122 1.60877
36 29.7401 60.6844 29.7416 1.63041
37 29.9557 61.9955 29.9572 1.65094
38 30.1584 63.2896 30.1599 1.67042
39 30.3489 64.5668 30.3504 1.68887
40 30.5279 65.8274 30.5295 1.70637
41 30.6963 67.0717 30.6979 1.72295
42 30.8545 68.2997 30.8561 1.73865
43 31.0032 69.5118 31.0049 1.75351
44 31.143 70.7082 31.1447 1.76759
45 31.2744 71.889 31.2762 1.78092
46 31.398 73.0544 31.3997 1.79352
47 31.5141 74.2047 31.5158 1.80544
48 31.6233 75.34 31.625 1.81671
49 31.7259 76.4606 31.7276 1.82737
50 31.8223 77.5666 31.8241 1.83745
firstSpeed 2.1
1 2.1 2.205 2.09999 0.0428575
2 4.074 4.38133 4.07398 0.0924713
3 5.92956 6.52938 5.92948 0.149098
4 7.67379 8.6495 7.67364 0.210265
5 9.31336 10.7421 9.31313 0.274312
6 10.8546 12.8074 10.8543 0.340057
7 12.3033 14.8459 12.3031 0.406634
8 13.6651 16.8579 13.6649 0.473385
9 14.9452 18.8438 14.945 0.539733
10 16.1485 20.8038 16.1484 0.60529
11 17.2796 22.7383 17.2795 0.669741
12 18.3428 24.6477 18.3427 0.732829
13 19.3422 26.5323 19.3422 0.79436
14 20.2817 28.3924 20.2817 0.854209
15 21.1648 30.2283 21.1648 0.912237
16 21.9949 32.0403 21.9949 0.968402
17 22.7752 33.8288 22.7752 1.02266
18 23.5087 35.594 23.5087 1.07496
19 24.1982 37.3363 24.1982 1.1253
20 24.8463 39.0559 24.8463 1.17369
21 25.4555 40.7532 25.4555 1.22015
22 26.0282 42.4284 26.0281 1.26467
23 26.5665 44.0819 26.5664 1.30732
24 27.0725 45.7138 27.0725 1.34813
25 27.5481 47.3245 27.5481 1.38714
26 27.9953 48.9143 27.9952 1.4244
27 28.4155 50.4834 28.4155 1.45996
28 28.8106 52.0321 28.8106 1.49386
29 29.182 53.5607 29.182 1.52617
30 29.5311 55.0694 29.5311 1.55694
31 29.8592 56.5585 29.8592 1.58622
32 30.1676 58.0282 30.1677 1.61408
33 30.4576 59.4789 30.4576 1.64056
34 30.7301 60.9107 30.7302 1.66573
35 30.9863 62.3238 30.9863 1.68963
36 31.2271 63.7186 31.2272 1.71233
37 31.4535 65.0953 31.4535 1.73387
38 31.6663 66.454 31.6663 1.75431
39 31.8663 67.7951 31.8664 1.77369
40 32.0543 69.1188 32.0544 1.79206
41 32.2311 70.4252 32.2311 1.80946
42 32.3972 71.7147 32.3972 1.82594
43 32.5534 72.9874 32.5534 1.84155
44 32.7002 74.2436 32.7002 1.85632
45 32.8382 75.4834 32.8382 1.8703
46 32.9679 76.7071 32.9679 1.88353
47 33.0898 77.9149 33.0898 1.89605
48 33.2044 79.1071 33.2044 1.90789
49 33.3122 80.2837 33.3121 1.91908
50 33.4134 81.445 33.4134 1.92965
firstSpeed 2.2
1 2.2 2.31 2.19994 0.0448819
2 4.268 4.58997 4.26785 0.096745
3 6.21192 6.8403 6.21167 0.155959
4 8.0392 9.06138 8.03883 0.219994
5 9.75685 11.2536 9.75638 0.287072
6 11.3714 13.4173 11.3708 0.355929
7 12.8892 15.5529 12.8885 0.425676
8 14.3158 17.6607 14.3151 0.495639
9 15.6569 19.7411 15.6561 0.565215
10 16.9174 21.7944 16.9166 0.633959
11 18.1024 23.8211 18.1015 0.701548
12 19.2163 25.8214 19.2153 0.767681
13 20.2633 27.7958 20.2623 0.832191
14 21.2475 29.7444 21.2465 0.89493
15 22.1726 31.6677 22.1716 0.9558
16 23.0423 33.5661 23.0412 1.01472
17 23.8597 35.4397 23.8587 1.07159
18 24.6282 37.289 24.627 1.12645
19 25.3505 39.1142 25.3493 1.17926
20 26.0294 40.9157 26.0283 1.23003
21 26.6677 42.6938 26.6666 1.27874
22 27.2676 44.4488 27.2665 1.32544
23 27.8316 46.181 27.8305 1.37015
24 28.3617 47.8906 28.3606 1.41293
25 28.86 49.5781 28.8589 1.45382
26 29.3284 51.2435 29.3274 1.49285
27 29.7687 52.8874 29.7677 1.53011
28 30.1825 54.5098 30.1816 1.56565
29 30.5716 56.1112 30.5706 1.59949
30 30.9373 57.6918 30.9363 1.63173
31 31.2811 59.2518 31.2801 1.66244
32 31.6042 60.7915 31.6032 1.69164
33 31.9079 62.3112 31.9069 1.71941
34 32.1935 63.8112 32.1924 1.74579
35 32.4619 65.2916 32.4608 1.77084
36 32.7141 66.7528 32.7131 1.79462
37 32.9513 68.195 32.9503 1.81718
38 33.1742 69.6185 33.1732 1.83859
39 33.3838 71.0235 33.3827 1.85889
40 33.5807 72.4102 33.5797 1.87812
41 33.7659 73.7788 33.7649 1.89635
42 33.9399 75.1297 33.9389 1.91362
43 34.1035 76.463 34.1025 1.92998
44 34.2573 77.779 34.2563 1.94547
45 34.4019 79.0779 34.4009 1.96012
46 34.5378 80.3599 34.5368 1.97399
47 34.6655 81.6252 34.6645 1.98711
48 34.7856 82.8741 34.7846 1.99951
49 34.8984 84.1067 34.8975 2.01124
50 35.0045 85.3233 35.0036 2.02232
firstSpeed 2.3
1 2.3 2.415 2.30006 0.0469363
2 4.462 4.79861 4.46216 0.10123
3 6.49428 7.15122 6.49456 0.16332
4 8.40462 9.47326 8.40505 0.230444
5 10.2003 11.7651 10.2009 0.300727
6 11.8883 14.0272 11.8891 0.372853
7 13.475 16.2598 13.476 0.445881
8 14.9665 18.4634 14.9677 0.519048
9 16.3685 20.6384 16.3699 0.591809
10 17.6864 22.7851 17.688 0.663704
11 18.9252 24.9039 18.927 0.734354
12 20.0897 26.9951 20.0917 0.803518
13 21.1843 29.0592 21.1866 0.870929
14 22.2133 31.0964 22.2157 0.936495
15 23.1805 33.1072 23.1831 1.00008
16 24.0897 35.0918 24.0925 1.06161
17 24.9443 37.0506 24.9472 1.12104
18 25.7476 38.9839 25.7507 1.17834
19 26.5028 40.8922 26.506 1.23346
20 27.2126 42.7756 27.216 1.28646
21 27.8798 44.6345 27.8833 1.33732
22 28.507 46.4692 28.5107 1.38609
23 29.0966 48.2801 29.1004 1.43281
24 29.6508 50.0675 29.6547 1.47751
25 30.1718 51.8316 30.1757 1.52024
26 30.6615 53.5728 30.6655 1.56106
27 31.1218 55.2913 31.1259 1.60002
28 31.5545 56.9876 31.5587 1.63717
29 31.9612 58.6617 31.9655 1.67255
30 32.3435 60.3141 32.3479 1.70625
31 32.7029 61.945 32.7073 1.73831
32 33.0407 63.5547 33.0452 1.76882
33 33.3583 65.1435 33.3628 1.79783
34 33.6568 66.7117 33.6614 1.82541
35 33.9374 68.2594 33.942 1.85159
36 34.2012 69.787 34.2058 1.87644
37 34.4491 71.2948 34.4538 1.90002
38 34.6821 72.783 34.6869 1.92239
39 34.9012 74.2518 34.906 1.9436
40 35.1071 75.7015 35.1119 1.9637
41 35.3007 77.1324 35.3055 1.98275
42 35.4827 78.5447 35.4875 2.0008
43 35.6537 79.9386 35.6586 2.01789
44 35.8145 81.3144 35.8194 2.03407
45 35.9656 82.6723 35.9705 2.04937
46 36.1077 84.0126 36.1126 2.06385
47 36.2412 85.3354 36.2462 2.07754
48 36.3667 86.6411 36.3717 2.09049
49 36.4847 87.9297 36.4897 2.10273
50 36.5957 89.2016 36.6006 2.1143
firstSpeed 2.4
1 2.4 2.52 2.39994 0.0489286
2 4.656 5.00724 4.65593 0.105515
3 6.77664 7.46215 6.77661 0.170195
4 8.77004 9.88514 8.77005 0.24009
5 10.6438 12.2766 10.6439 0.313227
6 12.4052 14.637 12.4052 0.388374
7 14.0609 16.9668 14.0608 0.464446
8 15.6172 19.2662 15.6171 0.540615
9 17.0802 21.5357 17.08 0.616431
10 18.4554 23.7758 18.4551 0.69131
11 19.7481 25.9867 19.7476 0.764923
12 20.9632 28.1688 20.9626 0.836985
13 22.1054 30.3227 22.1047 0.907267
14 23.1791 32.4485 23.1782 0.975651
15 24.1883 34.5466 24.1874 1.042
16 25.137 36.6175 25.136 1.1062
17 26.0288 38.6615 26.0277 1.1682
18 26.8671 40.6789 26.8659 1.22795
19 27.6551 42.6701 27.6538 1.28546
20 28.3958 44.6354 28.3945 1.34073
21 29.092 46.5751 29.0907 1.39377
22 29.7465 48.4896 29.7452 1.44462
23 30.3617 50.3793 30.3603 1.49329
24 30.94 52.2443 30.9386 1.53987
25 31.4836 54.0852 31.4822 1.5844
26 31.9946 55.902 31.9931 1.62692
27 32.4749 57.6953 32.4734 1.66751
28 32.9264 59.4653 32.9249 1.70621
29 33.3508 61.2122 33.3493 1.74311
30 33.7498 62.9365 33.7482 1.77826
31 34.1248 64.6383 34.1232 1.81172
32 34.4773 66.318 34.4757 1.84356
33 34.8087 67.9759 34.8071 1.87384
34 35.1201 69.6122 35.1186 1.9026
35 35.4129 71.2272 35.4114 1.92994
36 35.6882 72.8213 35.6866 1.95589
37 35.9469 74.3946 35.9453 1.98052
38 36.1901 75.9475 36.1885 2.00388
39 36.4187 77.4801 36.4171 2.02603
40 36.6335 78.9929 36.632 2.04702
41 36.8355 80.486 36.834 2.06692
42 37.0254 81.9597 37.0238 2.08577
43 37.2039 83.4142 37.2023 2.10363
44 37.3716 84.8498 37.3701 2.12052
45 37.5293 86.2668 37.5278 2.13651
46 37.6776 87.6653 37.676 2.15164
47 37.8169 89.0457 37.8154 2.16594
48 37.9479 90.4081 37.9464 2.17947
49 38.071 91.7528 38.0695 2.19225
50 38.1868 93.08 38.1852 2.20434
firstSpeed 2.5
1 2.5 2.625 2.49996 0.0510121
2 4.85 5.21588 4.84995 0.110048
3 7.059 7.77307 7.05894 0.17746
4 9.13546 10.297 9.13531 0.250289
5 11.0873 12.7882 11.087 0.326617
6 12.9221 15.2469 12.9217 0.404937
7 14.6468 17.6737 14.6462 0.484202
8 16.268 20.0689 16.2673 0.563664
9 17.7919 22.433 17.7911 0.642672
10 19.2244 24.7664 19.2235 0.720708
11 20.5709 27.0695 20.5699 0.797404
12 21.8367 29.3426 21.8355 0.872495
13 23.0265 31.5861 23.0252 0.945696
14 24.1449 33.8005 24.1434 1.01686
15 25.1962 35.9861 25.1946 1.08591
16 26.1844 38.1433 26.1826 1.15268
17 27.1133 40.2724 27.1114 1.21718
18 27.9865 42.3739 27.9844 1.27937
19 28.8073 44.448 28.8051 1.33922
20 29.5789 46.4952 29.5765 1.39674
21 30.3042 48.5157 30.3016 1.45197
22 30.9859 50.51 30.9832 1.50491
23 31.6268 52.4784 31.6239 1.5556
24 32.2292 54.4212 32.2262 1.60411
25 32.7954 56.3387 32.7923 1.65048
26 33.3277 58.2313 33.3244 1.69476
27 33.828 60.0993 33.8246 1.73702
28 34.2983 61.943 34.2948 1.77732
29 34.7404 63.7627 34.7368 1.81573
30 35.156 65.5588 35.1523 1.85229
31 35.5467 67.3316 35.5428 1.88708
32 35.9139 69.0812 35.9099 1.92018
33 36.259 70.8082 36.255 1.95166
34 36.5835 72.5127 36.5794 1.98157
35 36.8885 74.195 36.8843 2.00999
36 37.1752 75.8555 37.1709 2.03696
37 37.4447 77.4944 37.4403 2.06255
38 37.698 79.1119 37.6936 2.08683
39 37.9361 80.7085 37.9316 2.10985
40 38.1599 82.2843 38.1554 2.13166
41 38.3703 83.8396 38.3657 2.15233
42 38.5681 85.3747 38.5635 2.17191
43 38.754 86.8898 38.7493 2.19045
44 38.9288 88.3852 38.924 2.208
45 39.0931 89.8612 39.0883 2.22461
46 39.2475 91.318 39.2426 2.24034
47 39.3926 92.7559 39.3878 2.25521
48 39.5291 94.1751 39.5242 2.26927
49 39.6573 95.5758 39.6524 2.28256
50 39.7779 96.9583 39.7729 2.29512
firstSpeed 2.6
1 2.6 2.73 2.60001 0.0530457
2 5.044 5.42451 5.04397 0.114364
3 7.34136 8.08399 7.34126 0.184372
4 9.50088 10.7089 9.50073 0.260005
5 11.5308 13.2997 11.5306 0.339272
6 13.439 15.8568 13.4387 0.420626
7 15.2326 18.3806 15.2324 0.503014
8 16.9187 20.8717 16.9184 0.585583
9 18.5036 23.3304 18.5033 0.667692
